Best Test Accuracy: 0.867500
Best Epoch: 58

Epoch-wise metrics:
Epoch 001 | Train Loss: 2.142459 | Train Acc: 0.224380 | Test Loss: 1.760431 | Test Acc: 0.282900
Epoch 002 | Train Loss: 1.817215 | Train Acc: 0.291800 | Test Loss: 1.507691 | Test Acc: 0.413600
Epoch 003 | Train Loss: 1.716931 | Train Acc: 0.338640 | Test Loss: 1.416371 | Test Acc: 0.475200
Epoch 004 | Train Loss: 1.634566 | Train Acc: 0.371300 | Test Loss: 1.378250 | Test Acc: 0.511900
Epoch 005 | Train Loss: 1.578199 | Train Acc: 0.390900 | Test Loss: 1.244225 | Test Acc: 0.566000
Epoch 006 | Train Loss: 1.528747 | Train Acc: 0.414820 | Test Loss: 1.293910 | Test Acc: 0.553000
Epoch 007 | Train Loss: 1.488970 | Train Acc: 0.428220 | Test Loss: 1.170780 | Test Acc: 0.606800
Epoch 008 | Train Loss: 1.406470 | Train Acc: 0.468960 | Test Loss: 1.060955 | Test Acc: 0.638300
Epoch 009 | Train Loss: 1.329216 | Train Acc: 0.510220 | Test Loss: 1.007365 | Test Acc: 0.665600
Epoch 010 | Train Loss: 1.251288 | Train Acc: 0.539900 | Test Loss: 0.927727 | Test Acc: 0.680500
Epoch 011 | Train Loss: 1.201063 | Train Acc: 0.566500 | Test Loss: 0.867424 | Test Acc: 0.707300
Epoch 012 | Train Loss: 1.123942 | Train Acc: 0.597820 | Test Loss: 0.865352 | Test Acc: 0.699000
Epoch 013 | Train Loss: 1.000176 | Train Acc: 0.642180 | Test Loss: 0.735878 | Test Acc: 0.746000
Epoch 014 | Train Loss: 0.942582 | Train Acc: 0.668440 | Test Loss: 0.708669 | Test Acc: 0.750800
Epoch 015 | Train Loss: 0.900708 | Train Acc: 0.683400 | Test Loss: 0.666679 | Test Acc: 0.770800
Epoch 016 | Train Loss: 0.869522 | Train Acc: 0.700360 | Test Loss: 0.650914 | Test Acc: 0.774900
Epoch 017 | Train Loss: 0.814816 | Train Acc: 0.718300 | Test Loss: 0.642608 | Test Acc: 0.780300
Epoch 018 | Train Loss: 0.784653 | Train Acc: 0.729180 | Test Loss: 0.641866 | Test Acc: 0.776000
Epoch 019 | Train Loss: 0.747735 | Train Acc: 0.744100 | Test Loss: 0.630060 | Test Acc: 0.782700
Epoch 020 | Train Loss: 0.721147 | Train Acc: 0.752400 | Test Loss: 0.591715 | Test Acc: 0.802200
Epoch 021 | Train Loss: 0.694905 | Train Acc: 0.760680 | Test Loss: 0.571545 | Test Acc: 0.802400
Epoch 022 | Train Loss: 0.678188 | Train Acc: 0.767920 | Test Loss: 0.593380 | Test Acc: 0.801000
Epoch 023 | Train Loss: 0.658134 | Train Acc: 0.775360 | Test Loss: 0.578387 | Test Acc: 0.803300
Epoch 024 | Train Loss: 0.644460 | Train Acc: 0.780480 | Test Loss: 0.600591 | Test Acc: 0.794600
Epoch 025 | Train Loss: 0.586803 | Train Acc: 0.798840 | Test Loss: 0.504980 | Test Acc: 0.825200
Epoch 026 | Train Loss: 0.568209 | Train Acc: 0.806440 | Test Loss: 0.511203 | Test Acc: 0.830100
Epoch 027 | Train Loss: 0.553377 | Train Acc: 0.812440 | Test Loss: 0.498992 | Test Acc: 0.833100
Epoch 028 | Train Loss: 0.542610 | Train Acc: 0.814320 | Test Loss: 0.507635 | Test Acc: 0.830000
Epoch 029 | Train Loss: 0.527910 | Train Acc: 0.821200 | Test Loss: 0.475918 | Test Acc: 0.838100
Epoch 030 | Train Loss: 0.523195 | Train Acc: 0.821400 | Test Loss: 0.485147 | Test Acc: 0.833800
Epoch 031 | Train Loss: 0.512595 | Train Acc: 0.824580 | Test Loss: 0.473165 | Test Acc: 0.839500
Epoch 032 | Train Loss: 0.498519 | Train Acc: 0.829280 | Test Loss: 0.473092 | Test Acc: 0.841700
Epoch 033 | Train Loss: 0.498929 | Train Acc: 0.828400 | Test Loss: 0.489813 | Test Acc: 0.836400
Epoch 034 | Train Loss: 0.487909 | Train Acc: 0.833320 | Test Loss: 0.488624 | Test Acc: 0.839100
