Best Test Accuracy: 0.897900
Best Epoch: 57
Warmup Epochs: 10
Num Experts: 4
Top-k: 2
Expert Hidden Dim: 256
Gate Temperature: 1.2
Balance Loss Weight: 0.25
Gate LR Scale: 0.35
Initial Gate Noise Std: 0.12
Later Gate Noise Std: 0.03
Noise Transition Epoch: 28

Epoch-wise metrics:
Epoch 001 | Train Loss: 1.774917 | Train Acc: 0.408820 | Clean Train Acc: 0.475120 | Test Loss: 1.602131 | Test Acc: 0.491000
Epoch 002 | Train Loss: 1.562696 | Train Acc: 0.514500 | Clean Train Acc: 0.570940 | Test Loss: 1.412222 | Test Acc: 0.583000
Epoch 003 | Train Loss: 1.457461 | Train Acc: 0.568320 | Clean Train Acc: 0.639380 | Test Loss: 1.306940 | Test Acc: 0.643200
Epoch 004 | Train Loss: 1.379758 | Train Acc: 0.608180 | Clean Train Acc: 0.675200 | Test Loss: 1.254791 | Test Acc: 0.680000
Epoch 005 | Train Loss: 1.310486 | Train Acc: 0.646440 | Clean Train Acc: 0.700440 | Test Loss: 1.190378 | Test Acc: 0.719800
Epoch 006 | Train Loss: 1.272848 | Train Acc: 0.665220 | Clean Train Acc: 0.693660 | Test Loss: 1.183724 | Test Acc: 0.714000
Epoch 007 | Train Loss: 1.240218 | Train Acc: 0.682920 | Clean Train Acc: 0.729180 | Test Loss: 1.108751 | Test Acc: 0.751400
Epoch 008 | Train Loss: 1.224562 | Train Acc: 0.695160 | Clean Train Acc: 0.662340 | Test Loss: 1.254030 | Test Acc: 0.695200
Epoch 009 | Train Loss: 1.213807 | Train Acc: 0.699920 | Clean Train Acc: 0.737460 | Test Loss: 1.114211 | Test Acc: 0.766200
Epoch 010 | Train Loss: 1.208194 | Train Acc: 0.701580 | Clean Train Acc: 0.745640 | Test Loss: 1.140764 | Test Acc: 0.750300
Epoch 011 | Train Loss: 1.344646 | Train Acc: 0.642900 | Clean Train Acc: 0.735560 | Test Loss: 1.192445 | Test Acc: 0.723900
